2.598858166167709527e+01,5.850870635952889920e+00,1.006129395881063182e+01,7.276194342934229731e+00,1.092357741421718131e+01,9.814062089773141651e+00,9.785826791547609815e+00,8.963212881482542471e+00,6.776765489998482828e+00,5.153490096087828931e+00,8.042574678994359516e+00,8.117577025231737409e+00,6.526919910192813923e+00
7.000754183779437767e+01,-6.483776061858215201e+00,7.872924042068831341e+00,3.000165046451727657e-01,7.706794632634725417e+00,4.758448205821691701e+00,7.989244633920556282e+00,5.254933638708705779e+00,1.501229777036381108e-01,-3.770915013716261033e+00,3.194790396326668613e+00,4.459131358421683622e+00,5.588382004148281235e-01
8.723831830960758538e+00,5.867845606166094186e+00,6.507397089606948626e+00,5.020345211330896618e+00,6.851870442891788926e+00,6.382246130820861119e+00,6.251204405739672509e+00,5.806899123545957941e+00,4.268328325243386345e+00,3.090506875605239401e+00,4.410306346246279041e+00,4.815246317314806568e+00,3.896647739779234954e+00
3.107825589167014257e+01,3.872283582904937571e+00,9.977996183670690300e+00,6.386690056835502283e+00,1.120927236173640118e+01,9.830964177260113956e+00,9.633519392843787443e+00,8.638538658745252619e+00,6.723971072272285632e+00,4.601608603338704029e+00,7.393217356370278104e+00,7.895822845806737433e+00,5.910383197259861277e+00
2.944644615584254410e+01,6.695196303255888104e+00,1.114476961557829071e+01,6.123549982684078685e+00,7.044569239919712622e+00,6.664701031746998794e+00,7.545762835048758888e+00,6.957696199006059068e+00,5.569801187150989819e+00,4.727761253997386781e+00,5.484710718854946876e+00,5.323109869460060040e+00,4.889109761272314891e+00
2.493570777801556915e+01,1.180735884293394600e+00,7.014231456906171225e+00,4.369605216314460527e+00,8.652683840611569366e+00,9.173406672173815224e+00,9.477085538848733393e+00,9.649650526144592178e+00,9.161610792354560218e+00,6.942784174476659409e+00,6.884792828943647969e+00,7.891626360212254276e+00,7.660644868465791291e+00
3.609910305498826943e+01,6.964759775932599872e+00,1.207149342242200163e+01,5.051001300993018361e+00,6.220907596128791184e+00,6.029496115293759395e+00,7.608167635014753571e+00,6.067253003158628921e+00,4.627958244733843429e+00,4.521503328258696719e+00,5.886891472730736652e+00,5.353377962332015905e+00,4.563247215228518172e+00
2.116930097252158305e+01,7.943783478053901170e+00,1.025354660900362269e+01,7.224297654656012924e+00,8.261937449186893545e+00,6.706898814896502081e+00,6.800966440686342374e+00,5.872557457974587614e+00,5.283685855371732742e+00,4.429317967439957648e+00,4.343632322345762908e+00,4.643050489554213733e+00,5.168690381601813932e+00
3.437231614180728201e+01,9.750623386101032963e+00,1.388220730668325764e+01,9.435405205153706731e+00,1.078912042190046350e+01,8.222537505185202988e+00,8.335987869463215461e+00,7.571541930387456709e+00,7.933254399800904189e+00,6.863086945615947343e+00,6.953003528115410781e+00,6.216513856710403907e+00,5.797332884855986634e+00
3.968258559113820638e+01,1.016962197540168056e+01,1.416399161131490203e+01,8.307674353852569027e+00,9.758726919735687844e+00,8.009893773005131834e+00,8.047808899341818645e+00,6.748281636016827179e+00,7.131453762462964363e+00,6.283434927778261070e+00,6.436601466544246364e+00,5.769863845906003874e+00,5.616792540514901511e+00
